phase_type,duration,energy_start,energy_end,energy_consumed,battery_start,battery_end,battery_delta,rho,tau,planning_time,start_time,end_time
planning,0.8,7317.7576878446,7339.05547935284,21.2977915082411,92.9720519892108+0.167723585102225i,92.952234546991+0.167725968952205i,-0.0198174422197752+2.38384997994223e-06i,,,0.794732152038871,2405,2413
traveling,6.29999999999999,7339.05547935284,7542.7411617894,203.685682436561,92.952234546991+0.167725968952205i,92.7620687019565+0.167749079062732i,-0.190165845034556+2.31101105262754e-05i,6.2996644950927,,,2413,2476
planning,0.1,7542.7411617894,7545.22070395185,2.47954216244761,92.7620687019565+0.167749079062732i,92.7597630475821+0.167749357830633i,-0.00230565437432517+2.78767901068511e-07i,,,0.00818485746676789,2476,2477
dwelling,14,7545.22070395185,7826.88297838366,281.662274431815,92.7597630475821+0.167749357830633i,92.4983482013479+0.167780976586975i,-0.261414846234203+3.16187563420001e-05i,,13.9333331324248,,2477,2617
planning,1,7826.88297838366,7849.03151993644,22.1485415527777,92.4983482013479+0.167780976586975i,92.4777729248823+0.167783480970977i,-0.0205752764655927+2.50438400231645e-06i,,,0.98320497505013,2617,2627
traveling,6.19999999999999,7849.03151993644,8040.0163004069,190.984780470458,92.4777729248823+0.167783480970977i,92.299528433287+0.167805450729835i,-0.178244491595365+2.19697588581536e-05i,6.24840041425856,,,2627,2689
planning,1,8040.0163004069,8066.37246731274,26.3561669058463,92.299528433287+0.167805450729835i,92.274995153135+0.167808467955173i,-0.0245332801519567+3.01722533832538e-06i,,,0.924846671461045,2689,2699
dwelling,13.9,8066.37246731274,8410.68969883439,344.317231521643,92.274995153135+0.167808467955173i,91.9546727166761+0.167848029366283i,-0.320322436458881+3.95614111090847e-05i,,13.8999998622308,,2699,2838
planning,0.9,8410.68969883439,8432.99271814382,22.3030193094364,91.9546727166761+0.167848029366283i,91.9339215280123+0.167850606364128i,-0.0207511886638372+2.57699784542154e-06i,,,0.811082933050095,2838,2847
traveling,5.3,8432.99271814382,8568.25344382672,135.260725682896,91.9339215280123+0.167850606364128i,91.8080189247865+0.16786629025704i,-0.125902603225853+1.56838929119274e-05i,5.47353353348175,,,2847,2900
planning,0.2,8568.25344382672,8573.18309783408,4.92965400736648,91.8080189247865+0.16786629025704i,91.8034320662698+0.167866862351093i,-0.00458685851666019+5.72094053297167e-07i,,,0.124918183514864,2900,2902
dwelling,13.9,8573.18309783408,8888.6550797521,315.471981918021,91.8034320662698+0.167866862351093i,91.510106841138+0.167903560348951i,-0.293325225131767+3.66979978577986e-05i,,13.8841460300946,,2902,3041
planning,1,8888.6550797521,8915.96950155872,27.3144218066136,91.510106841138+0.167903560348951i,91.4846557578125+0.167906773670857i,-0.0254510833255495+3.21332190594825e-06i,,,0.966821736275912,3041,3051
traveling,6.69999999999999,8915.96950155872,9146.81469720205,230.845195643331,91.4846557578125+0.167906773670857i,91.2687602607677+0.167934336993796i,-0.215895497044784+2.75633229394057e-05i,6.68113576835554,,,3051,3118
planning,0.1,9146.81469720205,9149.57518183565,2.76048463360166,91.2687602607677+0.167934336993796i,91.2661873200049+0.167934664277118i,-0.00257294076278924+3.27283321638339e-07i,,,0.0823987276295376,3118,3119
dwelling,15.3,9149.57518183565,9501.411683653,351.836501817348,91.2661873200049+0.167934664277118i,90.9388759790698+0.167976342370667i,-0.327311340935083+4.16780935489636e-05i,,15.2333332362741,,3119,3272
planning,0.6,9501.411683653,9515.52637846233,14.1146948093319,90.9388759790698+0.167976342370667i,90.925740720439+0.16797802447218i,-0.0131352586307969+1.6821015132451e-06i,,,0.583928568164489,3272,3278
traveling,6.39999999999999,9515.52637846233,9692.20448814127,176.678109678944,90.925740720439+0.16797802447218i,90.7609529892333+0.167999278607528i,-0.164787731205763+2.12541353475926e-05i,6.47947220292745,,,3278,3342
planning,0.8,9692.20448814127,9709.56041819103,17.3559300497545,90.7609529892333+0.167999278607528i,90.7448121675081+0.168001353625977i,-0.0161408217251306+2.07501844898261e-06i,,,0.730863693913012,3342,3350
dwelling,15.3,9709.56041819103,10029.4760121283,319.915593937245,90.7448121675081+0.168001353625977i,90.4473464340773+0.168039754777489i,-0.297465733430812+3.84011515126848e-05i,,15.2333331231951,,3350,3503
planning,0.5,10029.4760121283,10043.787715307,14.3117031787242,90.4473464340773+0.168039754777489i,90.4339925090129+0.168041498619566i,-0.0133539250643793+1.74384207626832e-06i,,,0.451907088530049,3503,3508
traveling,5.4,10043.787715307,10206.2517512504,162.464035943443,90.4339925090129+0.168041498619566i,90.2822877105818+0.168061385844414i,-0.151704798431098+1.98872248483584e-05i,5.58253233962686,,,3508,3562
planning,0.5,10206.2517512504,10220.0055105499,13.7537592994504,90.2822877105818+0.168061385844414i,90.2694591332743+0.168063067679172i,-0.0128285773075305+1.68183475815487e-06i,,,0.497034941678382,3562,3567
dwelling,14.8,10220.0055105499,10601.0510047435,381.045494193577,90.2694591332743+0.168063067679172i,89.9142672955249+0.168109816235882i,-0.355191837749445+4.67485567093306e-05i,,14.7412718012734,,3567,3715
planning,0.7,10601.0510047435,10621.8216581947,20.7706534511981,89.9142672955249+0.168109816235882i,89.8948694104792+0.168112392437701i,-0.0193978850456631+2.57620181928764e-06i,,,0.643903177125511,3715,3722
traveling,6.89999999999999,10621.8216581947,10863.6913651004,241.869706905703,89.8948694104792+0.168112392437701i,89.6683315487411+0.16814275916063i,-0.226537861738123+3.03667229288318e-05i,6.86170272321603,,,3722,3791
planning,1,10863.6913651004,10891.4606764098,27.769311309452,89.6683315487411+0.16814275916063i,89.6424145235781+0.168146220292217i,-0.0259170251629968+3.46113158727901e-06i,,,0.944637878620335,3791,3801
dwelling,15.1,10891.4606764098,11278.0436001404,386.582923730622,89.6424145235781+0.168146220292217i,89.2819029904732+0.168194541911341i,-0.360511533104898+4.83216191236313e-05i,,15.0666664543051,,3801,3952
planning,0.9,11278.0436001404,11303.2244931397,25.1808929992967,89.2819029904732+0.168194541911341i,89.2583923035804+0.168197717208597i,-0.0235106868928199+3.17529725674115e-06i,,,0.862034852239761,3952,3961
traveling,6.59999999999999,11303.2244931397,11517.6334371905,214.408944050776,89.2583923035804+0.168197717208597i,89.0577045657029+0.168225041443012i,-0.200687737877416+2.73242344148439e-05i,6.68465652273102,,,3961,4027
planning,0.6,11517.6334371905,11532.4719957813,14.8385585907872,89.0577045657029+0.168225041443012i,89.0438678636998+0.16822691633141i,-0.0138367020031893+1.87488839756278e-06i,,,0.532701027677772,4027,4033
dwelling,16.3,11532.4719957813,11898.554074798,366.082079016734,89.0438678636998+0.16822691633141i,88.7027802214633+0.168273274958834i,-0.341087642236502+4.63586274240257e-05i,,16.2333331209072,,4033,4196
planning,0.9,11898.554074798,11920.877080102,22.3230053039642,88.7027802214633+0.168273274958834i,88.6819576752277+0.168276124988488i,-0.02082254623555+2.85002965411119e-06i,,,0.83408015919678,4196,4205
traveling,5.6,11920.877080102,12074.4903937838,153.613313681755,88.6819576752277+0.168276124988488i,88.5384836931774+0.168295856232831i,-0.143473982050338+1.97312443430409e-05i,5.7849718002259,,,4205,4261
planning,0.7,12074.4903937838,12092.6423705131,18.1519767293485,88.5384836931774+0.168295856232831i,88.5215409889559+0.168298188005861i,-0.0169427042214636+2.33177303055054e-06i,,,0.612641419656584,4261,4268
dwelling,16,12092.6423705131,12488.0468595695,395.404489056369,88.5215409889559+0.168298188005861i,88.1526163124559+0.168349175259253i,-0.368924676499972+5.09872533910882e-05i,,15.9297159127759,,4268,4428
planning,1,12488.0468595695,12513.5638590349,25.5169994653988,88.1526163124559+0.168349175259253i,88.1287961095911+0.168352487185972i,-0.023820202864826+3.31192671992886e-06i,,,0.927490899733908,4428,4438
traveling,7.19999999999999,12513.5638590349,12734.9217331845,221.357874149648,88.1287961095911+0.168352487185972i,87.9215964457311+0.168381539341981i,-0.207199663859981+2.9052156008097e-05i,7.2349412193217,,,4438,4510
planning,1,12734.9217331845,12759.6452692012,24.7235360166687,87.9215964457311+0.168381539341981i,87.8985206615425+0.168384765352987i,-0.0230757841886629+3.22601100627429e-06i,,,0.980684063326218,4510,4520
dwelling,16.3,12759.6452692012,13128.3360347365,368.690765535348,87.8985206615425+0.168384765352987i,87.5546690579996+0.168432979771408i,-0.343851603542845+4.82144184208999e-05i,,16.2666666510286,,4520,4683
planning,0.7,13128.3360347365,13145.4569325135,17.1208977769293,87.5546690579996+0.168432979771408i,87.5386862727342+0.168435235162641i,-0.0159827852654075+2.2553912334411e-06i,,,0.607844665219801,4683,4690
traveling,6.79999999999999,13145.4569325135,13334.0273561946,188.570423681153,87.5386862727342+0.168435235162641i,87.362334676023+0.168460270329386i,-0.176351596711172+2.50351667451243e-05i,6.89394013183928,,,4690,4758
