phase_type,duration,energy_start,energy_end,energy_consumed,battery_start,battery_end,battery_delta,rho,tau,planning_time,start_time,end_time
traveling,5.1,4708.76721778755,5018.23937123189,309.472153444337,99.9319945615704+0.00382411687944644i,99.9277635207389+0.00382412623909915i,-0.00423104083151316+9.35965270738859e-09i,5.01031030293733,,,1254,1305
planning,0.6,5018.23937123189,5037.87274078949,19.6333695576004,99.9277635207389+0.00382412623909915i,99.9275009026828+0.00382412679385056i,-0.000262618056140695+5.54751417112392e-10i,,,0.561920154265977,1305,1311
dwelling,9.39999999999998,5037.87274078949,5286.93197050112,249.059229711628,99.9275009026828+0.00382412679385056i,99.9241785646439+0.00382413377365562i,-0.00332233803889892+6.97980506074794e-09i,,9.39999991369829,,1311,1405
planning,0.9,5286.93197050112,5312.44144102184,25.5094705207221,99.9241785646439+0.00382413377365562i,99.9238380064965+0.00382413449034422i,-0.00034055814738565+7.1668859345439e-10i,,,0.848709226458282,1405,1414
traveling,5.3,5312.44144102184,5536.34423787462,223.902796852782,99.9238380064965+0.00382413449034422i,99.9208203701955+0.00382414096680675i,-0.00301763630102414+6.47646253336756e-09i,5.23937486892253,,,1414,1467
planning,0.6,5536.34423787462,5550.16064866249,13.8164107878738,99.9208203701955+0.00382414096680675i,99.9206363474185+0.003824141352305i,-0.000184022776977599+3.85498244871024e-10i,,,0.523780036965869,1467,1473
dwelling,10.2,5550.16064866249,5775.19572044391,225.035071781418,99.9206363474185+0.003824141352305i,99.9176403044728+0.00382414762375896i,-0.00299604294573896+6.27145396552009e-09i,,10.1666664348187,,1473,1575
planning,0.7,5775.19572044391,5791.3472550321,16.1515345881844,99.9176403044728+0.00382414762375896i,99.9174251759758+0.00382414807449705i,-0.000215128496989792+4.50738091382213e-10i,,,0.614626958012946,1575,1582
traveling,4.7,5791.3472550321,5916.04440765375,124.697152621654,99.9174251759758+0.00382414807449705i,99.9157616153605+0.00382415157149438i,-0.00166356061525619+3.49699732279246e-09i,4.70888548893764,,,1582,1629
planning,1,5916.04440765375,5941.44556913996,25.4011614862102,99.9157616153605+0.00382415157149438i,99.9154229411763+0.00382415228261437i,-0.000338674184163779+7.11119990150222e-10i,,,0.911647424007853,1629,1639
dwelling,7.09999999999999,5941.44556913996,6101.81462469966,160.369055559701,99.9154229411763+0.00382415228261437i,99.9132873392485+0.00382415675599493i,-0.00213560192786133+4.47338056657962e-09i,,7.03076908604058,,1639,1710
planning,0.1,6101.81462469966,6104.55679930364,2.74217460398086,99.9132873392485+0.00382415675599493i,99.9132507452428+0.0038241568329781i,-3.65940056781255e-05+7.69831715735636e-11i,,,0.0514482932302053,1710,1711
traveling,5.2,6104.55679930364,6381.24976159138,276.692962287737,99.9132507452428+0.0038241568329781i,99.909468761989+0.00382416520775146i,-0.00378198325383039+8.37477335960748e-09i,5.13274420390791,,,1711,1763
planning,0.5,6381.24976159138,6393.97039884358,12.7206372522005,99.909468761989+0.00382416520775146i,99.9092991540224+0.00382416556399019i,-0.000169607966540752+3.56238724283364e-10i,,,0.454966145002097,1763,1768
dwelling,10.1,6393.97039884358,6617.67783510795,223.707436264371,99.9092991540224+0.00382416556399019i,99.9063206329407+0.00382417180246293i,-0.00297852108170105+6.23847274229886e-09i,,10.0999998715081,,1768,1869
planning,0.4,6617.67783510795,6627.80003214132,10.1221970333709,99.9063206329407+0.00382417180246293i,99.9061856782941+0.00382417208592315i,-0.000134954646668461+2.83460222308407e-10i,,,0.309369242422749,1869,1873
traveling,5.3,6627.80003214132,6852.53583543936,224.735803298038,99.9061856782941+0.00382417208592315i,99.9031495768848+0.00382417864097795i,-0.0030361014092648+6.55505479497248e-09i,5.29552786651187,,,1873,1926
planning,0.2,6852.53583543936,6857.67265573259,5.13682029323081,99.9031495768848+0.00382417864097795i,99.9030810786134+0.00382417878492028i,-6.84982713892168e-05+1.43942332012092e-10i,,,0.162898900217732,1926,1928
dwelling,10.8,6857.67265573259,7135.92113919632,278.248483463733,99.9030810786134+0.00382417878492028i,99.8993702538826+0.00382418658541941i,-0.00371082473080264+7.80049912640565e-09i,,10.7999998651511,,1928,2036
planning,0.6,7135.92113919632,7155.60453419921,19.6833950028913,99.8993702538826+0.00382418658541941i,99.8991069528691+0.00382418714235345i,-0.000263301013461614+5.56934039250973e-10i,,,0.54020403751352,2036,2042
traveling,4.7,7155.60453419921,7310.07710015315,154.47256595394,99.8991069528691+0.00382418714235345i,99.8970404495629+0.00382419151430796i,-0.00206650330628122+4.37195451152492e-09i,4.72472367405959,,,2042,2089
planning,0.2,7310.07710015315,7315.82987699472,5.75277684156208,99.8970404495629+0.00382419151430796i,99.8969636332642+0.00382419167621731i,-7.6816298658855e-05+1.61909357882656e-10i,,,0.168690278712271,2089,2091
dwelling,10.7,7315.82987699472,7590.1177931932,274.287916198479,99.8969636332642+0.00382419167621731i,99.8933061150469+0.00382419936457842i,-0.00365751821732374+7.68836110921767e-09i,,10.660279697182,,2091,2198
planning,0.6,7590.1177931932,7606.11728183191,15.9994886387112,99.8933061150469+0.00382419936457842i,99.8930926716492+0.00382419981370036i,-0.000213443397655055+4.49121939291586e-10i,,,0.598628526633235,2198,2204
traveling,5.9,7606.11728183191,7815.93086577251,209.813583940603,99.8930926716492+0.00382419981370036i,99.8902790561992+0.00382420579755293i,-0.00281361544998049+5.98385256709438e-09i,5.86818076445744,,,2204,2263
planning,0.4,7815.93086577251,7826.41395831296,10.4830925404467,99.8902790561992+0.00382420579755293i,99.8901392334107+0.00382420609168145i,-0.000139822788497668+2.94128517982356e-10i,,,0.396418535561727,2263,2267
dwelling,11.6,7826.41395831296,8090.12774083508,263.713782522124,99.8901392334107+0.00382420609168145i,99.8866271819343+0.00382421345746721i,-0.00351205147646283+7.36578575953953e-09i,,11.5666666017329,,2267,2383
planning,0.1,8090.12774083508,8092.6570539662,2.52931313112003,99.8866271819343+0.00382421345746721i,99.8865934596494+0.00382421352835822i,-3.37222848543206e-05+7.08910135455154e-11i,,,0.00565306812684552,2383,2384
traveling,5.7,8092.6570539662,8302.4973446117,209.840290645501,99.8865934596494+0.00382421352835822i,99.8837750844044+0.00382421954374799i,-0.00281837524498485+6.01538976789662e-09i,5.68870683640641,,,2384,2441
planning,0.5,8302.4973446117,8315.3496095486,12.8522649368952,99.8837750844044+0.00382421954374799i,99.8836036991299+0.00382421990421287i,-0.000171385274569502+3.60464879299582e-10i,,,0.469100520229019,2441,2446
dwelling,12.4,8315.3496095486,8607.71734431,292.367734761407,99.8836036991299+0.00382421990421287i,99.8797085139791+0.0038242280824008i,-0.0038951851507818+8.1781879302488e-09i,,12.3333331906736,,2446,2570
planning,1,8607.71734431,8634.85747846729,27.1401341572891,99.8797085139791+0.0038242280824008i,99.8793463693795+0.00382422884519617i,-0.000362144599563408+7.62795371138381e-10i,,,0.986680043980283,2570,2580
traveling,5,8634.85747846729,8791.20695602982,156.349477562522,99.8793463693795+0.00382422884519617i,99.8772561404927+0.00382423326518052i,-0.00209022888680011+4.41998435074531e-09i,5.15557372272537,,,2580,2630
planning,0.2,8791.20695602982,8796.95078834005,5.74383231023603,99.8772561404927+0.00382423326518052i,99.8771794443078+0.0038242334269715i,-7.6696184905245e-05+1.61790976015846e-10i,,,0.132285325427939,2630,2632
dwelling,13.3,8796.95078834005,9125.63808755539,328.687299215342,99.8771794443078+0.0038242334269715i,99.8727981997922+0.00382424263755936i,-0.00438124451562771+9.2105878670562e-09i,,13.2045880836668,,2632,2765
planning,0.6,9125.63808755539,9142.08281834337,16.44473078798,99.8727981997922+0.00382424263755936i,99.872578742044+0.00382424310006212i,-0.000219457748158902+4.62502758747513e-10i,,,0.555307624725453,2765,2771
traveling,6.39999999999999,9142.08281834337,9380.56509448762,238.482276144246,99.872578742044+0.00382424310006212i,99.8693797806054+0.00382424991319332i,-0.00319896143862763+6.81313119593394e-09i,6.43915812981289,,,2771,2835
planning,0.1,9380.56509448762,9383.57437261601,3.00927812838927,99.8693797806054+0.00382424991319332i,99.8693395737771+0.00382424999814363i,-4.02068283591461e-05+8.49503106747918e-11i,,,0.0535978153165582,2835,2836
dwelling,13.9,9383.57437261601,9732.35532743113,348.78095481512,99.8693395737771+0.00382424999814363i,99.8646896721907+0.00382425978035772i,-0.00464990158633327+9.78221409170948e-09i,,13.8999999905765,,2836,2975
planning,0.4,9732.35532743113,9742.96292955587,10.6076021247372,99.8646896721907+0.00382425978035772i,99.864548167422+0.00382426007844295i,-0.000141504768720324+2.98085234013562e-10i,,,0.397228260437835,2975,2979
traveling,6.09999999999999,9742.96292955587,9936.83160320525,193.868673649387,99.864548167422+0.00382426007844295i,99.8619544129965+0.00382426557520287i,-0.00259375442554699+5.49675991442372e-09i,6.18119469514492,,,2979,3040
planning,0.2,9936.83160320525,9941.84973976811,5.01813656285776,99.8619544129965+0.00382426557520287i,99.861887513302+0.00382426571596744i,-6.68996944312994e-05+1.4076456666956e-10i,,,0.113566338672047,3040,3042
dwelling,14.7,9941.84973976811,10285.0379192781,343.188179509962,99.861887513302+0.00382426571596744i,99.8573156483903+0.00382427532231742i,-0.00457186491176742+9.60634998891513e-09i,,14.6666653639199,,3042,3189
planning,0.6,10285.0379192781,10302.4823870869,17.444467808833,99.8573156483903+0.00382427532231742i,99.8570826765137+0.00382427581436526i,-0.000232971876584998+4.92047835202319e-10i,,,0.566620582441644,3189,3195
traveling,5.3,10302.4823870869,10474.349107231,171.866720144097,99.8570826765137+0.00382427581436526i,99.8547838490973+0.00382428068506086i,-0.00229882741639642+4.87069559641437e-09i,5.4309181372171,,,3195,3248
planning,0.4,10474.349107231,10486.1263123987,11.7772051676893,99.8547838490973+0.00382428068506086i,99.8546265381159+0.00382428101745494i,-0.000157310981379055+3.32394088382176e-10i,,,0.347186297893882,3248,3252
dwelling,13.4,10486.1263123987,10825.9860525272,339.859740128522,99.8546265381159+0.00382428101745494i,99.8500950231811+0.00382429055895985i,-0.00453151493483972+9.54150490431807e-09i,,13.3867127712372,,3252,3386
planning,0.1,10825.9860525272,10828.8399820419,2.85392951471658,99.8500950231811+0.00382429055895985i,99.8500569177159+0.00382429063942687i,-3.81054651370505e-05+8.04670215008574e-11i,,,0.00997739496020689,3386,3387
traveling,6.39999999999999,10828.8399820419,11062.9402812268,234.100299184822,99.8500569177159+0.00382429063942687i,99.8469178095285+0.00382429732687058i,-0.00313910818736929+6.68744371337682e-09i,6.43474794573763,,,3387,3451
planning,0.1,11062.9402812268,11065.8587979625,2.91851673578094,99.8469178095285+0.00382429732687058i,99.846878830516+0.00382429740924137i,-3.89790125723266e-05+8.23707859733125e-11i,,,0.001463175172423,3451,3452
dwelling,14.6,11065.8587979625,11422.2369567878,356.37815882528,99.846878830516+0.00382429740924137i,99.8421290582034+0.00382430740520957i,-0.00474977231260709+9.99596819727111e-09i,,14.5999998475964,,3452,3598
planning,0.2,11422.2369567878,11428.1861141559,5.94915736808071,99.8421290582034+0.00382430740520957i,99.8420495827793+0.00382430757327767i,-7.94754240587281e-05+1.68068099368202e-10i,,,0.176661204694203,3598,3600
traveling,6.19999999999999,11428.1861141559,11644.6507554042,216.464641248302,99.8420495827793+0.00382430757327767i,99.8391494512679+0.00382431374288343i,-0.00290013151145274+6.1696057611707e-09i,6.23307955172267,,,3600,3662
planning,0.6,11644.6507554042,11661.2535874244,16.6028320202313,99.8391494512679+0.00382431374288343i,99.8389278537467+0.00382431421069939i,-0.000221597521161243+4.67815966086887e-10i,,,0.547286633863654,3662,3668
dwelling,14.5,11661.2535874244,12010.9395044634,349.685917038927,99.8389278537467+0.00382431421069939i,99.8342678750732+0.0038243240184719i,-0.00465997867347312+9.80777250473436e-09i,,14.4999996615698,,3668,3813
planning,1,12010.9395044634,12038.4169092223,27.477404758989,99.8342678750732+0.0038243240184719i,99.8339011665056+0.00382432479266247i,-0.000366708567582918+7.74190569291511e-10i,,,0.92573618067275,3813,3823
